cache_frontend_create,0.009254,0.004627,2,"741,824",0
magento,3.946183,3.946183,1,"30,557,672","16,777,216"
magento->EVENT:core_collection_abstract_load_before,0.029741,0.029741,1,"208,224",0
magento->store.resolve,0.001232,0.001232,1,"127,904",0
magento->session_start,0.003544,0.003544,1,"30,232",0
magento->EVENT:model_load_before,0.019934,0.019934,1,"75,040",0
magento->routers_match,0.734056,0.734056,1,"9,809,712","4,194,304"
magento->routers_match->load_area:frontend.translate,0.070913,0.070913,1,"59,056",0
"magento->routers_match->EAV: Magento\Eav\Model\Config::_initEntityTypes",0.000887,0.000887,1,"39,576",0
magento->routers_match->EVENT:controller_action_predispatch,0.104927,0.104927,1,"444,720",0
magento->routers_match->EVENT:controller_action_predispatch->OBSERVER:posimwebext_updater,0.102494,0.102494,1,"166,600",0
magento->routers_match->EVENT:controller_action_predispatch->OBSERVER:customer_visitor,0.000592,0.000592,1,"98,672",0
magento->routers_match->EVENT:controller_action_predispatch->OBSERVER:persistent_synchronize,0.000961,0.000961,1,"140,352",0
magento->routers_match->EVENT:controller_action_predispatch->OBSERVER:persistent,0.000219,0.000219,1,"19,128",0
magento->routers_match->CONTROLLER_ACTION:catalog_category_view,0.382831,0.382831,1,"5,128,848","4,194,304"
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body,0.382817,0.382817,1,"5,127,976","4,194,304"
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT,0.345614,0.115205,3,"4,327,800","4,194,304"
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_load,0.122084,0.122084,1,"179,816",0
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_load->layout_package_update:default,0.116680,0.116680,1,"149,376",0
"magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_load->layout_package_update:default->layout_db_update: default_head_blocks",0.001193,0.001193,1,"8,152",0
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_load->layout_package_update:default->layout_package_update:checkout_cart_sidebar_total_renderers,0.001044,0.001044,1,"6,048",0
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_load->layout_package_update:catalog_category_view,0.002057,0.002057,1,"15,928",0
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_generate_xml,0.002231,0.002231,1,"75,264",0
magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_generate_blocks,0.220801,0.220801,1,"3,996,824","4,194,304"
"magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements",0.220631,0.220631,1,"4,410,208","4,194,304"
"magento->routers_match->CONTROLLER_ACTION:catalog_category_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->build_structure",0.010950,0.010950,1,"439,240",0
